fighter,pearson
Ben Nguyen,0.30375658107024184
Yao Zhikui,nan
Ryan Bader,0.3017845421696058
Magnus Cedenblad,0.33178693556048444
Kyoji Horiguchi,-0.01981752189805252
Anna Elmose,nan
Gegard Mousasi,0.16160913633613555
Miesha Tate,nan
Erik Perez,0.17887687213927428
Erick Montano,nan
Lukasz Sajewski,nan
Shamil Abdurakhimov,-0.08768316031961458
Cody East,nan
Jonathan Wilson,0.26396514997136283
Kelly Faszholz,nan
Godofredo Pepey,-0.05134008200005278
Roy Nelson,0.01626544926377417
Glaico Franca Moreira,nan
Chris Wade,nan
Roan Carneiro,nan
Augusto Montano,nan
Yancy Medeiros,nan
Taylor Lapilus,-0.024135665362062735
Jessin Ayari,nan
Jarjis Danho,nan
Scott Askham,0.028055012475536444
Shane Campbell,nan
Jeremy Kennedy,nan
Rick Story,-0.21536037688184237
Hyun Gyu Lim,nan
Anthony Johnson,-0.2203337098312565
Nate Diaz,-0.2293940126802519
Alberto Uda,nan
Viktor Pesta,nan
Francisco Rivera,-0.010577593812145378
Michael Graves,nan
Cesar Arzamendia,nan
Jim Alers,nan
Michael McDonald,-0.05689638160193997
Cain Velasquez,0.30130035480096656
Brock Lesnar,-0.19588821695080982
Cory Hendricks,nan
Russell Doane,0.1473585765609154
Anthony Birchak,nan
Tamdan McCrory,nan
Rory MacDonald,0.16339369366242038
Steve Bosse,nan
Chris Beal,nan
Ali Bagautinov,0.010258478535204134
Dan Henderson,-0.041810911186315296
Kevin Casey,nan
Chris Camozzi,0.3775831619833513
Antonio Silva,0.6109828358552147
Albert Tumenov,0.003207631718501773
Jon Tuck,nan
Yan Cabral,nan
Yuta Sasaki,0.1567033151526795
Efrain Escudero,0.005240263758349153
Oluwale Bamgbose,nan
Igor Pokrajac,0.21924937284746226
Ian Entwistle,nan
Filip Pejic,nan
Robert Whiteford,0.11962525739205736
James Te Huna,-0.001258465710443839
Brendan O'Reilly,nan
Julian Erosa,nan
Mike Wilkinson,nan
Norman Parke,nan
Teemu Packalen,nan
Daniel Sarafian,0.2256518034260475
Jonavin Webb,nan
Noad Lahat,nan
Josh Barnett,nan
Matt Dwyer,0.23452864369347393
George Sullivan,nan
Damon Jackson,nan
Maximo Blanco,0.32575759463647347
Patrick Cote,0.06161350033491077
Diego Brandao,0.2545044220547733
Lorenz Larkin,0.11958580889574187
Sheldon Westcott,nan
Josh Samman,nan
Sarah Kaufman,nan
Hayder Hassan,nan
Joe Proctor,nan
Tatsuya Kawajiri,0.10148826951078677
Gabriel Gonzaga,0.33369281427642716
Joby Sanchez,nan
Dongi Yang,nan
Yoshihiro Akiyama,nan
Tae Hyun Bang,nan
Benson Henderson,0.009025995143147551
